scorer,,,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan
labeled-data,turtle24,img233.png,1488.823339987542,820.0061717927581,,,,,,,,,,,,,458.34468130592626,416.2651027876602,1561.5906256803214,744.8915543034375,1183.6702064371775,1024.2240380918481,904.3377226487671,540.6736880043484,995.8836627138764,629.8722962729167,,
labeled-data,turtle24,img307.png,1230.616842368003,862.2581441305023,,,,,,,,,,,,,418.4400407647248,378.70779404300043,1451.2660312428823,751.9335496930629,878.5170728868131,794.1855220308053,784.6238010251625,481.9903930908166,845.6544277352355,632.2196280694578,,
labeled-data,turtle24,img326.png,1216.5328515887556,862.2581441305023,,,,,,,,,,,1359.720091177773,674.4716004072011,425.48203615434863,385.74978943262425,1423.098049684387,770.7122040653932,906.6850544453082,850.5214851477956,775.2344738389975,491.37972027698163,871.4750774971892,636.9142916625402,,
labeled-data,turtle24,img330.png,1214.1855197922143,864.6054759270436,,,,,,,,,,,1355.0254275846903,683.8609275933661,460.6920131024676,392.7917848222481,1423.098049684387,775.4068676584756,911.3797180383908,873.9948031132083,775.2344738389975,486.6850566838991,852.6964231248592,627.5249644763752,,
labeled-data,turtle24,img382.png,1085.0822709824447,972.5827385679418,,,,,,,,,,,1315.1207870434887,789.4908584377231,479.4706674747977,437.39108895653214,1301.0367962642413,923.2887708405754,791.6657964147862,850.5214851477955,728.2878379081719,496.0743838700641,848.0017595317765,704.9869137622369,,
labeled-data,turtle24,img419.png,1045.177630441243,1040.6553606676384,,,,,,,,,,,,,486.5126628644215,451.4750797357792,1279.91081009537,1010.1400473126005,718.8985107220069,834.0901625720055,761.1504830597497,557.1050105801362,892.6010636660607,791.8381902342628,,
labeled-data,turtle24,img447.png,1007.6203216965827,996.0560565333531,,,,,,,,,,,1265.8268193161223,777.7541994550152,451.30268591630255,446.7804161426967,1286.9528054849936,1028.9187016849307,747.0664922805022,834.0901625720055,794.0131282113275,571.1890013593838,890.2537318695195,749.5862178965201,,
labeled-data,turtle24,img515.png,977.1050083415463,1028.9187016849307,,,,,,,,,,,,,430.17669974743114,474.9483977011919,1270.5214829092047,1038.3080288710958,747.0664922805022,876.3421349097484,763.497814856291,585.2729921386315,873.8224092937305,751.9335496930612,,
labeled-data,turtle24,img649.png,1031.0936396619954,1012.487379109143,,,,,,,,,,,,,444.26069052667873,456.16974332886224,1279.9108100953697,970.2354067714007,763.4978148562909,857.5634805374191,768.1924784493735,568.8416695628434,890.2537318695195,756.628213286145,,
labeled-data,turtle24,img682.png,1045.177630441243,1028.918701684932,,,,,,,,,,,,,437.21869513705497,472.6010659046511,1289.300137281535,981.972065754107,765.8451466528322,881.0367985028317,791.6657964147862,580.5783285455499,887.9064000729782,758.9755450826863,,
labeled-data,turtle24,img703.png,1056.9142894239494,1040.655360667637,,,,,,,,,,,,,427.8293679508899,463.21173871848555,1293.9948008746173,993.7087247368117,765.8451466528322,888.0787938924548,791.6657964147862,587.6203239351726,911.3797180383908,768.3648722688501,,
labeled-data,turtle24,img709.png,1052.219625830867,1031.266033481472,,,,,,,,,,,,,441.9133587301375,467.90640231156806,1308.078791653865,977.2774021610228,772.887142042456,888.0787938924548,784.6238010251624,585.2729921386315,883.2117364798956,749.5862178965201,,
